"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"886","Dieter Schnabel ",76,"Manufacturing ",1.1,"2020 - 2021",-0.8,"2016 - 2017"
"887","Clemens Toennies ",65,"Food & Beverage ",1.1,"2017 - 2018",-0.2,"2015 - 2016"
"888","Huang Guanlin ",57,"Fashion & Retail ",1.1,"2020 - 2021",-0.8,"2021 - 2022"
"889","Viktor Kharitonin ",49,"Healthcare ",1.1,"2020 - 2021",-2,"2021 - 2022"
"890","Alan Howard ",58,"Finance & Investments ",1.1,"2020 - 2021",-0.1,"2015 - 2016"
"891","N. Murray Edwards ",62,"Energy ",1.1,"2021 - 2022",-0.5,"2015 - 2016"
"892","Nicholas Pritzker ",78,"Finance & Investments ",1.1,"2021 - 2022",-0.2,"2020 - 2021"
"893","William Stone ",66,"Technology ",1.1,"2020 - 2021",0,"2015 - 2016"
"894","Xie Weitong ",65,"Metals & Mining ",1.1,"2021 - 2022",0,"2015 - 2016"
"895","Aneel Bhusri ",56,"Technology ",1.1,"2020 - 2021",-0.0999999999999996,"2021 - 2022"
"896","Aloke Lohia ",63,"Manufacturing ",1.1,"2017 - 2018",-0.1,"2021 - 2022"
"897","Thomas Tull ",51,"Media & Entertainment ",1.1,"2021 - 2022",0,"2015 - 2016"
"898","Lang Walker ",76,"Real Estate ",1.1,"2020 - 2021",-0.0999999999999996,"2021 - 2022"
"899","Lee Bass ",65,"Energy ",1.1,"2016 - 2017",-0.4,"2017 - 2018"
"900","Bob Ell ",77,"Real Estate ",1.1,"2020 - 2021",-0.2,"2021 - 2022"
"901","Huang Qiaoling ",63,"Media & Entertainment ",1.1,"2020 - 2021",-1,"2021 - 2022"
"902","Kim Taek-jin ",55,"Media & Entertainment ",1.1,"2020 - 2021",-1.2,"2021 - 2022"
"903","Anita Zucker ",70,"Manufacturing ",1.1,"2016 - 2017",-0.4,"2015 - 2016"
"904","Liu Ming Chung ",59,"Manufacturing ",1.1,"2020 - 2021",-0.7,"2021 - 2022"
"905","Patrick Soon-Shiong ",69,"Healthcare ",1.1,"2020 - 2021",-3.3,"2016 - 2017"
"906","Ananda Krishnan ",84,"Telecom ",1.1,"2020 - 2021",-2.8,"2018 - 2019"
"907","Ted Lerner & family ",96,"Real Estate ",1.1,"2020 - 2021",-0.3,"2021 - 2022"
"908","Samuel Tak Lee ",82,"Real Estate ",1.1,"2017 - 2018",-0.1,"2016 - 2017"
"909","Don Vultaggio & family ",70,"Food & Beverage ",1.1,"2020 - 2021",0,"2015 - 2016"
"910","James Packer ",54,"Gambling & Casinos ",1.1,"2017 - 2018",-1.7,"2015 - 2016"
"911","Yitzhak Tshuva ",73,"Real Estate ",1.1,"2021 - 2022",-0.9,"2015 - 2016"
"912","Miguel Krigsner ",72,"Fashion & Retail ",1.1,"2021 - 2022",-1.2,"2020 - 2021"
"913","John Sall ",74,"Technology ",1.1,"2018 - 2019",-2.5,"2019 - 2020"
"914","Sergei Galitsky ",54,"Fashion & Retail ",1.1,"2016 - 2017",-2.8,"2017 - 2018"
"915","Pansy Ho ",59,"Gambling & Casinos ",1.1,"2017 - 2018",-1.6,"2015 - 2016"
"916","Suh Kyung-bae ",59,"Fashion & Retail ",1.1,"2020 - 2021",-2.87,"2018 - 2019"
"917","Paolo & Gianfelice Mario Rocca ",64,"Metals & Mining ",1,"2016 - 2017",-1.8,"2015 - 2016"
"918","K. Dinesh ",67,"Technology ",1,"2020 - 2021",-0.1,"2015 - 2016"
"919","Salil Singhal ",74,"Manufacturing ",1,"2020 - 2021",0,"2015 - 2016"
"920","Timothy Boyle ",72,"Fashion & Retail ",1,"2020 - 2021",-0.4,"2021 - 2022"
"921","Ray Davis ",80,"Energy ",1,"2016 - 2017",-1.4,"2015 - 2016"
"922","Roberto Angelini Rossi ",73,"Diversified ",1,"2017 - 2018",-0.4,"2015 - 2016"
"923","Robert F. Smith ",59,"Finance & Investments ",1,"2020 - 2021",0,"2015 - 2016"
"924","Stephen Bisciotti ",61,"Sports ",1,"2021 - 2022",0.4,"2017 - 2018"
"925","Joshua Harris ",57,"Finance & Investments ",1,"2020 - 2021",-0.5,"2015 - 2016"
"926","Radovan Vitek ",50,"Real Estate ",1,"2021 - 2022",0.5,"2017 - 2018"
"927","Vladimir Kim ",61,"Metals & Mining ",1,"2017 - 2018",-0.3,"2015 - 2016"
"928","Mark Shoen ",71,"Automotive ",1,"2020 - 2021",-1.7,"2016 - 2017"
"929","Min Kao & family ",73,"Technology ",1,"2020 - 2021",0,"2015 - 2016"
"930","Edwin Leong ",70,"Real Estate ",1,"2015 - 2016",-0.6,"2016 - 2017"
"931","Ty Warner ",77,"Real Estate ",1,"2020 - 2021",0,"2015 - 2016"
"932","Michael Herz ",78,"Fashion & Retail ",1,"2017 - 2018",-1.12,"2018 - 2019"
"933","Wolfgang Herz ",71,"Fashion & Retail ",1,"2017 - 2018",-1.12,"2018 - 2019"
"934","Jean (Gigi) Pritzker ",59,"Service ",1,"2020 - 2021",-0.4,"2015 - 2016"
"935","Cameron Winklevoss ",40,"Finance & Investments ",1,"2021 - 2022",0,"2015 - 2016"
"936","Tyler Winklevoss ",40,"Finance & Investments ",1,"2021 - 2022",0,"2015 - 2016"
"937","Ira Rennert ",87,"Finance & Investments ",1,"2020 - 2021",-2.5,"2015 - 2016"
"938","Sid Bass ",79,"Energy ",1,"2020 - 2021",0.5,"2017 - 2018"
"939","Behdad Eghbali ",45,"Finance & Investments ",1,"2020 - 2021",0,"2015 - 2016"
"940","Yang Weidong & family ",53,"Manufacturing ",1,"2021 - 2022",0,"2015 - 2016"
"941","Barry Zekelman ",55,"Manufacturing ",1,"2021 - 2022",0,"2015 - 2016"
"942","Sebastian Siemiatkowski ",40,"Finance & Investments ",1,"2021 - 2022",0,"2015 - 2016"
"943","Tran Dinh Long ",61,"Manufacturing ",1,"2021 - 2022",0,"2015 - 2016"
"944","Liang Yunchao ",53,"Food & Beverage ",1,"2020 - 2021",-0.6,"2016 - 2017"
"945","Karsanbhai Patel ",78,"Diversified ",1,"2016 - 2017",-0.8,"2021 - 2022"
"946","Riley Bechtel & family ",70,"Construction & Engineering ",1,"2020 - 2021",0,"2015 - 2016"
"947","Hamilton James ",70,"Finance & Investments ",1,"2021 - 2022",-0.5,"2015 - 2016"
"948","Roger Penske ",85,"Automotive ",1,"2020 - 2021",0.0999999999999999,"2017 - 2018"
"949","Olivier Pomel ",45,"Technology ",1,"2021 - 2022",0,"2015 - 2016"
"950","Dan Olsson ",75,"Diversified ",1,"2017 - 2018",-1.2,"2021 - 2022"
"951","Hussain Sajwani ",69,"Real Estate ",1,"2020 - 2021",0,"2015 - 2016"
"952","Isak Andic & family ",68,"Fashion & Retail ",1,"2020 - 2021",0,"2015 - 2016"
"953","Alec Gores ",69,"Finance & Investments ",1,"2020 - 2021",-0.4,"2021 - 2022"
"954","Hans Georg Naeder ",60,"Manufacturing ",1,"2017 - 2018",-1.2,"2021 - 2022"
"955","Hans Sy ",66,"Diversified ",1,"2020 - 2021",-0.4,"2021 - 2022"
"956","Herbert Sy ",65,"Diversified ",1,"2020 - 2021",-0.4,"2021 - 2022"
"957","Ulrike Baro ",64,"Healthcare ",1,"2021 - 2022",0,"2015 - 2016"
"958","Mark Leonard & family ",65,"Technology ",1,"2020 - 2021",0,"2015 - 2016"
"959","Prathap Reddy ",90,"Healthcare ",1,"2021 - 2022",0,"2015 - 2016"
"960","John Fisher ",60,"Fashion & Retail ",1,"2020 - 2021",-0.7,"2021 - 2022"
"961","Liang Qin & family ",50,"Technology ",1,"2021 - 2022",0,"2015 - 2016"
"962","Alberto Roemmers ",95,"Healthcare ",1,"2016 - 2017",-0.2,"2017 - 2018"
"963","Koos Bekker ",69,"Media & Entertainment ",1,"2020 - 2021",-0.9,"2015 - 2016"
"964","Alexander Frolov ",57,"Metals & Mining ",1,"2020 - 2021",-1.1,"2021 - 2022"
"965","Bill Haslam ",63,"Fashion & Retail ",1,"2016 - 2017",-0.3,"2017 - 2018"
"966","Phillip Frost ",85,"Healthcare ",1,"2020 - 2021",-1,"2015 - 2016"
"967","Clive Palmer ",68,"Metals & Mining ",1,"2020 - 2021",-1.7,"2021 - 2022"
"968","Lei Jufang ",69,"Healthcare ",1,"2016 - 2017",-1,"2017 - 2018"
"969","Wang Chou-hsiong ",81,"Manufacturing ",1,"2020 - 2021",-0.2,"2021 - 2022"
"970","Chi Yufeng ",51,"Technology ",1,"2020 - 2021",-1.3,"2021 - 2022"
"971","Robert Toennies ",43,"Food & Beverage ",1,"2017 - 2018",-0.1,"2020 - 2021"
"972","Zhou Zongwen & family ",65,"Fashion & Retail ",1,"2020 - 2021",-0.4,"2021 - 2022"
"973","Lutz Mario Helmig ",75,"Healthcare ",1,"2017 - 2018",-0.5,"2015 - 2016"
"974","Yuri Shefler ",54,"Food & Beverage ",1,"2020 - 2021",-1.1,"2021 - 2022"
"975","Mikhail Shelkov ",53,"Metals & Mining ",1,"2020 - 2021",-0.5,"2021 - 2022"
"976","Adam Neumann ",43,"Real Estate ",1,"2016 - 2017",0,"2015 - 2016"
"977","Liu Ming Hui ",59,"Energy ",1,"2017 - 2018",-1.5,"2021 - 2022"
"978","Sergei Kolesnikov ",50,"Manufacturing ",1,"2020 - 2021",-0.9,"2021 - 2022"
"979","Igor Rybakov ",49,"Manufacturing ",1,"2020 - 2021",-0.9,"2021 - 2022"
"980","Xiong Wu ",46,"Technology ",1,"2020 - 2021",-1.3,"2021 - 2022"
"981","Zhang Yin ",65,"Manufacturing ",1,"2020 - 2021",-0.8,"2021 - 2022"
"982","Naguib Sawiris ",67,"Telecom ",0.95,"2018 - 2019",-1.95,"2019 - 2020"
"983","Niels Peter Louis-Hansen ",74,"Healthcare ",0.9,"2017 - 2018",-0.999999999999999,"2021 - 2022"
"984","David Reuben ",83,"Real Estate ",0.9,"2020 - 2021",-0.7,"2021 - 2022"
"985","Simon Reuben ",80,"Diversified ",0.9,"2020 - 2021",-0.7,"2021 - 2022"
"986","Dennis Washington ",87,"Logistics ",0.9,"2020 - 2021",-0.67,"2018 - 2019"
"987","Joe Lewis ",85,"Finance & Investments ",0.9,"2018 - 2019",-1.3,"2019 - 2020"
"988","Maria Fernanda Amorim & family ",87,"Diversified ",0.9,"2020 - 2021",0,"2015 - 2016"
"989","Trevor Rees-Jones ",70,"Energy ",0.9,"2015 - 2016",-1.22,"2019 - 2020"
"990","David Rubenstein ",72,"Finance & Investments ",0.9,"2020 - 2021",-0.7,"2015 - 2016"
"991","John Catsimatidis ",73,"Energy ",0.9,"2021 - 2022",-0.5,"2020 - 2021"
"992","Vanich Chaiyawan ",90,"Finance & Investments ",0.9,"2021 - 2022",-0.6,"2017 - 2018"
"993","Joseph Grendys ",60,"Food & Beverage ",0.9,"2021 - 2022",0,"2015 - 2016"
"994","Michael Hintze ",68,"Finance & Investments ",0.9,"2021 - 2022",-0.6,"2020 - 2021"
"995","Travis Kalanick ",45,"Technology ",0.9,"2015 - 2016",-2.85,"2019 - 2020"
"996","Anna Katharina Viessmann ",64,"Manufacturing ",0.9,"2020 - 2021",0,"2015 - 2016"
"997","Jack Cockwell ",81,"Finance & Investments ",0.9,"2021 - 2022",0,"2015 - 2016"
"998","Tor Peterson ",57,"Metals & Mining ",0.9,"2021 - 2022",0,"2015 - 2016"
"999","Alberto Siccardi & family ",77,"Healthcare ",0.9,"2020 - 2021",0,"2015 - 2016"
"1000","Teresita Sy-Coson ",71,"Diversified ",0.9,"2020 - 2021",-0.3,"2021 - 2022"
"1001","Chris Britt ",49,"Finance & Investments ",0.9,"2021 - 2022",0,"2015 - 2016"
"1002","Daniel Lubetzky ",53,"Food & Beverage ",0.9,"2020 - 2021",0,"2015 - 2016"
"1003","Wang Ren-sheng ",90,"Fashion & Retail ",0.9,"2021 - 2022",-0.2,"2020 - 2021"
"1004","Florentino Perez ",75,"Construction & Engineering ",0.9,"2020 - 2021",-0.6,"2015 - 2016"
"1005","Diao Zhizhong ",58,"Technology ",0.9,"2020 - 2021",-0.5,"2021 - 2022"
"1006","Chin Jong Hwa ",63,"Automotive ",0.9,"2020 - 2021",-0.8,"2021 - 2022"
"1007","Masatoshi Ito ",97,"Fashion & Retail ",0.9,"2020 - 2021",-1.13,"2019 - 2020"
"1008","Daryl Katz ",60,"Diversified ",0.9,"2021 - 2022",-0.3,"2016 - 2017"
"1009","Chris Larsen ",61,"Finance & Investments ",0.9,"2021 - 2022",0,"2015 - 2016"
"1010","Daniel D'Aniello ",75,"Finance & Investments ",0.9,"2020 - 2021",-0.6,"2015 - 2016"
"1011","Pablo Legorreta ",58,"Finance & Investments ",0.9,"2021 - 2022",0,"2015 - 2016"
"1012","Peter Kellogg ",79,"Finance & Investments ",0.9,"2020 - 2021",-0.5,"2015 - 2016"
"1013","Tung Chee Chen ",79,"Logistics ",0.9,"2017 - 2018",0,"2015 - 2016"
"1014","Jerry Ng ",56,"Finance & Investments ",0.9,"2021 - 2022",0,"2015 - 2016"
"1015","John Gandel ",87,"Real Estate ",0.9,"2020 - 2021",-1.1,"2019 - 2020"
"1016","Steve Wynn ",80,"Gambling & Casinos ",0.9,"2017 - 2018",-1,"2015 - 2016"
"1017","Harsh Mariwala ",70,"Food & Beverage ",0.9,"2020 - 2021",0.3,"2017 - 2018"
"1018","Michael Federmann & family ",78,"Technology ",0.9,"2021 - 2022",0,"2015 - 2016"
"1019","John Tyson ",68,"Food & Beverage ",0.9,"2020 - 2021",0.2,"2016 - 2017"
"1020","Martua Sitorus ",62,"Manufacturing ",0.9,"2021 - 2022",-0.6,"2015 - 2016"
"1021","Bill Alfond ",73,"Fashion & Retail ",0.9,"2020 - 2021",0,"2015 - 2016"
"1022","Susan Alfond ",76,"Fashion & Retail ",0.9,"2020 - 2021",0,"2015 - 2016"
"1023","Ted Alfond ",77,"Fashion & Retail ",0.9,"2020 - 2021",0,"2015 - 2016"
"1024","Felix Baker ",53,"Finance & Investments ",0.9,"2021 - 2022",0,"2015 - 2016"
"1025","Julian Baker ",55,"Finance & Investments ",0.9,"2021 - 2022",0,"2015 - 2016"
"1026","Beda Diethelm ",81,"Healthcare ",0.9,"2021 - 2022",0,"2015 - 2016"
"1027","Marcel Erni ",57,"Finance & Investments ",0.9,"2020 - 2021",-0.1,"2021 - 2022"
"1028","Abhay Firodia ",77,"Automotive ",0.9,"2020 - 2021",0,"2015 - 2016"
"1029","Alfred Gantner ",54,"Finance & Investments ",0.9,"2020 - 2021",-0.1,"2021 - 2022"
"1030","Alexis Lê-Quôc ",47,"Technology ",0.9,"2021 - 2022",0,"2015 - 2016"
"1031","Eugene Murtagh ",79,"Manufacturing ",0.9,"2020 - 2021",0,"2015 - 2016"
"1032","Urs Wietlisbach ",60,"Finance & Investments ",0.9,"2020 - 2021",-0.1,"2021 - 2022"
"1033","Matthias Reinhart ",62,"Finance & Investments ",0.9,"2020 - 2021",0,"2015 - 2016"
"1034","Chen Qiongxiang ",64,"Energy ",0.9,"2021 - 2022",0,"2015 - 2016"
"1035","John Coates ",52,"Gambling & Casinos ",0.9,"2020 - 2021",-0.6,"2021 - 2022"
"1036","Lirio Parisotto ",68,"Finance & Investments ",0.9,"2021 - 2022",-0.6,"2015 - 2016"
"1037","Hilton Schlosberg ",69,"Food & Beverage ",0.9,"2020 - 2021",-0.4,"2021 - 2022"
"1038","Stephen Feinberg ",62,"Finance & Investments ",0.9,"2020 - 2021",-0.2,"2015 - 2016"
"1039","Douglas Hsu ",79,"Diversified ",0.9,"2020 - 2021",-0.1,"2021 - 2022"
"1040","Brett Blundy ",62,"Fashion & Retail ",0.9,"2020 - 2021",0,"2015 - 2016"
"1041","Hou Juncheng ",57,"Healthcare ",0.9,"2020 - 2021",0,"2015 - 2016"
"1042","Harald Link ",67,"Diversified ",0.9,"2017 - 2018",-1,"2021 - 2022"
"1043","Alice Schwartz ",95,"Healthcare ",0.9,"2020 - 2021",-0.3,"2021 - 2022"
"1044","Aziz Akhannouch & family ",61,"Diversified ",0.9,"2020 - 2021",0,"2015 - 2016"
"1045","Cao Jianwei ",43,"Manufacturing ",0.9,"2021 - 2022",0,"2015 - 2016"
"1046","Shen Xiqiang & family ",74,"Energy ",0.9,"2020 - 2021",0,"2015 - 2016"
"1047","Lin Dingqiang & family ",55,"Real Estate ",0.9,"2020 - 2021",0,"2015 - 2016"
"1048","Alfredo Egydio Arruda Villela Filho ",52,"Finance & Investments ",0.9,"2016 - 2017",-0.7,"2015 - 2016"
"1049","Elaine Wynn ",79,"Gambling & Casinos ",0.9,"2020 - 2021",-0.7,"2015 - 2016"
"1050","Antti Aarnio-Wihuri ",82,"Diversified ",0.9,"2016 - 2017",0,"2015 - 2016"
"1051","Kevin Plank ",49,"Fashion & Retail ",0.9,"2020 - 2021",-1.2,"2016 - 2017"
"1052","Christopher Rokos ",51,"Finance & Investments ",0.9,"2020 - 2021",-0.4,"2021 - 2022"
"1053","Deng Yingzhong ",71,"Manufacturing ",0.9,"2020 - 2021",-0.9,"2021 - 2022"
"1054","Karen Pritzker ",64,"Finance & Investments ",0.899999999999999,"2021 - 2022",-0.5,"2015 - 2016"
"1055","Rene Benko ",45,"Real Estate ",0.899999999999999,"2020 - 2021",-0.199999999999999,"2021 - 2022"
"1056","Wang Wenjing ",57,"Technology ",0.899999999999999,"2020 - 2021",-1.2,"2015 - 2016"
"1057","Theo Mueller ",82,"Food & Beverage ",0.899999999999999,"2020 - 2021",-0.96,"2019 - 2020"
"1058","Martin Haefner ",68,"Technology ",0.899999999999999,"2020 - 2021",-0.5,"2015 - 2016"
"1059","Thai Lee ",63,"Technology ",0.899999999999999,"2021 - 2022",0,"2015 - 2016"
"1060","Philip & Cristina Green ",70,"Fashion & Retail ",0.800000000000001,"2015 - 2016",-1.1,"2016 - 2017"
"1061","Rick Caruso ",63,"Real Estate ",0.8,"2020 - 2021",0,"2015 - 2016"
"1062","Bernard Saul, II. ",89,"Finance & Investments ",0.8,"2016 - 2017",-0.1,"2017 - 2018"
"1063","John Henry ",72,"Sports ",0.8,"2021 - 2022",0,"2017 - 2018"
"1064","Gail Miller ",78,"Automotive ",0.8,"2021 - 2022",-0.6,"2017 - 2018"
"1065","Miriam Baumann-Blocher ",47,"Manufacturing ",0.8,"2020 - 2021",-0.2,"2017 - 2018"
"1066","Zygmunt Solorz-Zak ",65,"Media & Entertainment ",0.8,"2020 - 2021",-0.7,"2015 - 2016"
"1067","Henry Sy, Jr. ",69,"Diversified ",0.8,"2020 - 2021",0,"2015 - 2016"
"1068","Harley Sy ",62,"Diversified ",0.8,"2020 - 2021",-0.3,"2021 - 2022"
"1069","Serge Godin ",72,"Technology ",0.8,"2020 - 2021",0,"2015 - 2016"
"1070","Hans-Werner Hector ",82,"Technology ",0.8,"2017 - 2018",-0.3,"2015 - 2016"
"1071","Liang Xinjun ",54,"Diversified ",0.8,"2017 - 2018",-0.2,"2015 - 2016"
"1072","Qian Ying ",56,"Food & Beverage ",0.8,"2020 - 2021",-0.6,"2021 - 2022"
"1073","Nikolai Buinov ",54,"Energy ",0.8,"2020 - 2021",-0.7,"2021 - 2022"
"1074","Mustafa Kucuk ",58,"Fashion & Retail ",0.8,"2017 - 2018",-0.7,"2021 - 2022"
"1075","Alfred Oetker ",55,"Fashion & Retail ",0.8,"2015 - 2016",-0.1,"2016 - 2017"
"1076","Carl Ferdinand Oetker ",49,"Fashion & Retail ",0.8,"2015 - 2016",-0.1,"2016 - 2017"
"1077","Julia Oetker ",43,"Fashion & Retail ",0.8,"2015 - 2016",-0.1,"2016 - 2017"
"1078","Pavel Baudis ",61,"Technology ",0.8,"2020 - 2021",0,"2015 - 2016"
"1079","Norman Braman ",89,"Automotive ",0.8,"2017 - 2018",-0.2,"2021 - 2022"
"1080","Kishore Mariwala ",87,"Food & Beverage ",0.8,"2020 - 2021",0.2,"2017 - 2018"
"1081","Willy Michel ",75,"Healthcare ",0.8,"2016 - 2017",-0.2,"2017 - 2018"
"1082","Frank Laukien ",62,"Manufacturing ",0.8,"2020 - 2021",0,"2015 - 2016"
"1083","Solomon Lew ",77,"Fashion & Retail ",0.8,"2020 - 2021",0,"2015 - 2016"
"1084","Erik Paulsson & family ",80,"Real Estate ",0.8,"2020 - 2021",0,"2015 - 2016"
"1085","Evan Williams ",50,"Technology ",0.8,"2020 - 2021",-1.6,"2015 - 2016"
"1086","Chang Byung-gyu ",48,"Technology ",0.8,"2021 - 2022",0,"2015 - 2016"
"1087","Nicola Leibinger-Kammueller ",62,"Manufacturing ",0.8,"2020 - 2021",-0.2,"2021 - 2022"
"1088","Ilkka Herlin ",63,"Manufacturing ",0.8,"2020 - 2021",-0.5,"2021 - 2022"
"1089","Patricia Angelini Rossi ",68,"Diversified ",0.8,"2017 - 2018",-0.2,"2021 - 2022"
"1090","Sun Qinghuan ",48,"Technology ",0.8,"2016 - 2017",-0.5,"2017 - 2018"
"1091","Andrei Bokarev ",55,"Manufacturing ",0.8,"2020 - 2021",-1.3,"2021 - 2022"
"1092","Horst Wortmann ",80,"Fashion & Retail ",0.8,"2016 - 2017",-0.8,"2021 - 2022"
"1093","Alexander Karp ",54,"Technology ",0.8,"2020 - 2021",-1,"2021 - 2022"
"1094","Park Hyeon-joo ",63,"Finance & Investments ",0.8,"2015 - 2016",-1,"2017 - 2018"
"1095","Marc Rowan ",59,"Finance & Investments ",0.8,"2020 - 2021",-0.3,"2015 - 2016"
"1096","Dan Friedkin ",57,"Automotive ",0.8,"2020 - 2021",0.1,"2016 - 2017"
"1097","Paul Singer ",77,"Finance & Investments ",0.8,"2020 - 2021",0,"2021 - 2022"
"1098","Chen Kaixuan ",63,"Manufacturing ",0.8,"2020 - 2021",0,"2015 - 2016"
"1099","Renzo Rosso & family ",66,"Fashion & Retail ",0.8,"2020 - 2021",0,"2015 - 2016"
"1100","David Gottesman ",95,"Finance & Investments ",0.8,"2020 - 2021",-0.3,"2015 - 2016"
"1101","T. Denny Sanford ",86,"Finance & Investments ",0.8,"2020 - 2021",0,"2015 - 2016"
"1102","Lin Ming-hsiung ",72,"Fashion & Retail ",0.8,"2021 - 2022",0,"2015 - 2016"
"1103","Rudy Ma ",81,"Finance & Investments ",0.8,"2020 - 2021",0,"2015 - 2016"
"1104","Yi Zheng ",51,"Technology ",0.8,"2020 - 2021",-0.8,"2021 - 2022"
"1105","Stewart Horejsi & family ",84,"Finance & Investments ",0.8,"2020 - 2021",0,"2015 - 2016"
"1106","J. Tomilson Hill ",73,"Finance & Investments ",0.8,"2021 - 2022",-0.0999999999999999,"2015 - 2016"
"1107","Hans Melchers ",83,"Finance & Investments ",0.8,"2020 - 2021",0,"2021 - 2022"
"1108","Jerry Yang ",53,"Technology ",0.8,"2016 - 2017",-0.5,"2015 - 2016"
"1109","Alex Beard ",54,"Metals & Mining ",0.8,"2021 - 2022",0,"2015 - 2016"
"1110","S.D. Shibulal ",67,"Technology ",0.8,"2020 - 2021",-0.0999999999999999,"2015 - 2016"
"1111","Harsh Goenka ",64,"Diversified ",0.8,"2020 - 2021",-0.2,"2021 - 2022"
"1112","Elizabeth Sy ",69,"Diversified ",0.8,"2020 - 2021",-0.3,"2021 - 2022"
"1113","Li Xuhui ",53,"Food & Beverage ",0.8,"2020 - 2021",-0.3,"2021 - 2022"
"1114","Gretel Packer ",56,"Media & Entertainment ",0.8,"2020 - 2021",-0.4,"2021 - 2022"
"1115","Mustafa Rahmi Koc ",91,"Diversified ",0.8,"2020 - 2021",-0.8,"2021 - 2022"
"1116","Antonio Luiz Seabra ",79,"Fashion & Retail ",0.8,"2020 - 2021",-0.9,"2021 - 2022"
"1117","Luigi Cremonini & family ",82,"Food & Beverage ",0.8,"2020 - 2021",-1.2,"2021 - 2022"
"1118","Samvel Karapetyan ",56,"Construction & Engineering ",0.8,"2020 - 2021",-2.2,"2021 - 2022"
"1119","Jaime Gilinski Bacal ",64,"Finance & Investments ",0.77,"2018 - 2019",-1.07,"2019 - 2020"
"1120","Teddy Sagi ",50,"Gambling & Casinos ",0.7,"2020 - 2021",-0.2,"2016 - 2017"
"1121","Charles B. Johnson ",89,"Finance & Investments ",0.7,"2020 - 2021",0,"2015 - 2016"
"1122","Pyotr Aven ",67,"Finance & Investments ",0.7,"2020 - 2021",-1,"2021 - 2022"
"1123","Barry Sternlicht ",61,"Finance & Investments ",0.7,"2020 - 2021",0,"2015 - 2016"
"1124","Martha Ingram & family ",86,"Media & Entertainment ",0.7,"2021 - 2022",-0.9,"2020 - 2021"
"1125","Daniel Loeb ",60,"Finance & Investments ",0.7,"2020 - 2021",0.3,"2018 - 2019"
"1126","Romesh T. Wadhwani ",74,"Technology ",0.7,"2021 - 2022",0.1,"2017 - 2018"
"1127","Marc Ladreit de Lacharriere ",81,"Finance & Investments ",0.7,"2016 - 2017",-0.9,"2021 - 2022"
"1128","Chandru Raheja ",81,"Real Estate ",0.7,"2021 - 2022",-0.2,"2015 - 2016"
"1129","Juan Carlos Escotet ",62,"Finance & Investments ",0.7,"2017 - 2018",-0.2,"2020 - 2021"
"1130","Gil Shwed ",53,"Technology ",0.7,"2020 - 2021",-0.2,"2017 - 2018"
"1131","Archie Aldis Emmerson & family ",92,"Manufacturing ",0.7,"2020 - 2021",0,"2015 - 2016"
"1132","Prasert Prasarttong-Osoth ",89,"Healthcare ",0.7,"2020 - 2021",0,"2015 - 2016"
"1133","Najib Mikati ",66,"Telecom ",0.7,"2021 - 2022",-0.8,"2015 - 2016"
"1134","Taha Mikati ",77,"Telecom ",0.7,"2021 - 2022",-0.8,"2015 - 2016"
"1135","H. Ross Perot, Jr. ",63,"Real Estate ",0.7,"2020 - 2021",-0.3,"2015 - 2016"
"1136","Matthew Prince ",47,"Technology ",0.7,"2021 - 2022",0,"2015 - 2016"
"1137","Daniel Sundheim ",45,"Finance & Investments ",0.7,"2021 - 2022",0,"2015 - 2016"
"1138","Madhukar Parekh ",75,"Manufacturing ",0.7,"2021 - 2022",0,"2015 - 2016"
"1139","Bennett Dorrance ",76,"Food & Beverage ",0.7,"2015 - 2016",-0.5,"2017 - 2018"
"1140","Tung Chee Hwa ",84,"Logistics ",0.7,"2017 - 2018",0,"2015 - 2016"
"1141","Frank Fertitta, III. ",60,"Sports ",0.7,"2020 - 2021",-0.1,"2015 - 2016"
"1142","Lorenzo Fertitta ",53,"Sports ",0.7,"2020 - 2021",-0.1,"2015 - 2016"
"1143","Glen Taylor ",80,"Service ",0.7,"2017 - 2018",-0.6,"2015 - 2016"
"1144","Ferit Faik Sahenk ",58,"Diversified ",0.7,"2020 - 2021",-0.6,"2021 - 2022"
"1145","Christian Latouche ",81,"Finance & Investments ",0.7,"2021 - 2022",-0.6,"2020 - 2021"
"1146","Zhou Jian ",45,"Energy ",0.7,"2021 - 2022",0,"2015 - 2016"
"1147","Reid Hoffman ",54,"Technology ",0.7,"2016 - 2017",-2.3,"2015 - 2016"
"1148","Sukanto Tanoto ",72,"Diversified ",0.7,"2021 - 2022",-0.5,"2015 - 2016"
"1149","Jayshree Ullal ",61,"Technology ",0.7,"2021 - 2022",0,"2015 - 2016"
"1150","Sunny Varkey ",64,"Service ",0.7,"2021 - 2022",-0.1,"2015 - 2016"
"1151","Clayton Zekelman ",53,"Manufacturing ",0.7,"2021 - 2022",0,"2015 - 2016"
"1152","Lim Kok Thay ",70,"Gambling & Casinos ",0.7,"2020 - 2021",-0.7,"2021 - 2022"
"1153","Alexander Skorobogatko ",54,"Logistics ",0.7,"2016 - 2017",-0.9,"2021 - 2022"
"1154","Alexander Ponomarenko ",57,"Logistics ",0.7,"2016 - 2017",-1,"2021 - 2022"
